Site,Site Name,HR_age,Compost,Crops,Cover_Crop,Fallow,soil,Soil_Type,Treatment,Location,Upper_Depth,Lower_Depth,Length,sand,silt,clay,silt_clay,BD,pH,per_N,per_C,N_Mg_ha,C_Mg_ha,log_N,log_C,CN_ratio,N_kg_m2,C_kg_m2
1,Muller Y,20,4,tomato,0,6,Yolo,1,R,3,10,20,10,18.5,60.25,21.25,81.5,1.47918087,6.57,0.074809279,0.64655972,1.106564546,9.563787693,0.043976751,0.980629927,8.642774369,0.110656455,0.956378769
1,Muller Y,20,4,tomato,0,6,Yolo,1,R,3,20,50,30,13.5,59,27.5,86.5,1.400146454,6.39,0.048267639,0.409197736,2.027452919,17.18810278,0.306950778,1.235227942,8.47768282,0.202745292,1.718810278
1,Muller Y,20,4,tomato,0,6,Yolo,1,R,3,50,75,25,13.5,56.5,30,86.5,1.440092922,6.37,0.04564161,0.391417714,1.64320399,14.09194697,0.215691481,1.148971,8.575896274,0.164320399,1.409194697
1,Muller Y,20,4,tomato,0,6,Yolo,1,R,3,75,100,25,35,40,25,65,1.493396965,6.48,0.036295986,0.254424617,1.355107882,9.49892378,0.131973871,0.977674403,7.009717753,0.135510788,0.949892378
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,1,0,10,10,22.25,55.25,22.5,82.75,1.450016413,6.52,0.181859468,1.595540382,2.636992131,23.13559741,0.421108834,1.364280718,8.77347988,0.263699213,2.313559741
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,1,10,20,10,17.25,55.25,27.5,82.75,1.552508648,6.4,0.099588392,0.7659995,1.5461184,11.89220849,0.189242749,1.075262514,7.69165446,0.15461184,1.189220849
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,1,20,50,30,16,52.75,31.25,84,1.656313916,6.86,0.073389613,0.530039638,3.646687134,26.33736086,0.561898505,1.420572254,7.222270486,0.364668713,2.633736086
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,1,50,75,25,19.75,52.75,27.5,80.25,1.553569174,6.83,0.081730559,0.617189218,3.174351919,23.97115358,0.501655072,1.379688934,7.551511046,0.317435192,2.397115358
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,1,75,100,25,20.75,49.75,29.5,79.25,1.573416155,6.63,0.074463238,0.841101366,2.929041544,33.08506192,0.466725532,1.519631952,11.29552498,0.292904154,3.308506192
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,2,0,10,10,19,54,27,84,1.450016413,7.06,0.141039628,1.398902955,2.045097758,20.28432245,0.310714073,1.307160506,9.918509945,0.204509776,2.028432245
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,2,10,20,10,16,55.25,28.75,84,1.552508648,7.02,0.070678159,0.698545628,1.097284528,10.84498129,0.040319256,1.035228807,9.883472347,0.109728453,1.084498129
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,2,20,50,30,16,52.75,31.25,84,1.656313916,6.88,0.060562798,0.56994203,3.009330147,28.32008747,0.478469836,1.45209459,9.410761227,0.300933015,2.832008747
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,2,50,75,25,12.25,56.5,31.25,87.75,1.553569174,6.66,0.061659916,0.603326257,2.394823634,23.43272687,0.379273535,1.36982283,9.784740109,0.239482363,2.343272687
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,2,75,100,25,22,55,23,78,1.573416155,6.6,0.061720936,0.622359553,2.427817959,24.48076437,0.38521612,1.388824974,10.08344315,0.242781796,2.448076437
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,3,0,10,10,22.25,56.25,21.5,82.75,1.450016413,7.04,0.145838026,1.348671441,2.114675316,19.55595725,0.325243696,1.291279079,9.247735151,0.211467532,1.955595725
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,3,10,20,10,17.25,54,28.75,82.75,1.552508648,7.05,0.081258292,0.696816128,1.261542015,10.81813066,0.100901719,1.034152222,8.57532332,0.126154201,1.081813066
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,3,20,50,30,17.25,52.75,30,82.75,1.656313916,6.6,0.056562783,0.485455758,2.81057176,24.12201384,0.448794678,1.382413562,8.58260023,0.281057176,2.412201384
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,3,50,75,25,17.25,57.75,25,82.75,1.553569174,6.52,0.059457163,0.67828646,2.309270391,26.34412337,0.363474787,1.420683752,11.4079856,0.230927039,2.634412337
2,Hrdy Y,23,0,wheat,0,0,Yolo,1,H,3,75,100,25,20.5,53,26.5,79.5,1.573416155,6.28,0.060842672,0.749358093,2.39327109,29.47630325,0.378991895,1.469473016,12.31632446,0.239327109,2.947630325
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,1,0,10,10,23.5,54.5,22,76.5,1.333737343,6.78,0.092410234,0.886144692,1.232509799,11.81884267,0.090790381,1.072574952,9.58924844,0.12325098,1.181884267
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,1,10,20,10,24.75,53.5,21.75,75.25,1.404565311,6.82,0.069243409,0.673224148,0.972568898,9.455872848,-0.012079623,0.975701624,9.722573761,0.09725689,0.945587285
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,1,20,50,30,26,49.25,24.75,74,1.504961745,6.5,0.058510408,0.618858195,2.64167778,27.94073728,0.421879843,1.446237862,10.57689075,0.264167778,2.794073728
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,1,50,75,25,29.5,50,20.5,70.5,1.541676136,6.52,0.063786858,0.677428425,2.458466935,26.1093809,0.390664372,1.416796574,10.62018794,0.245846694,2.61093809
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,1,75,100,25,25,50.25,24.75,75,1.634977148,6.61,0.064846507,0.668073176,2.650563931,27.30710939,0.423338284,1.43627573,10.30237719,0.265056393,2.730710939
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,2,0,10,10,27.25,47.75,25,72.75,1.333737343,6.74,0.097876417,0.960386514,1.305414328,12.80903357,0.115748375,1.107516364,9.812236083,0.130541433,1.280903357
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,2,10,20,10,28.5,45.25,26.25,71.5,1.404565311,6.7,0.081856843,0.745988507,1.149732823,10.47789579,0.06059693,1.020274075,9.113331011,0.114973282,1.047789579
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,2,20,50,30,34.75,44,21.25,65.25,1.504961745,6.46,0.058011565,0.529582093,2.619155572,23.91002371,0.418161295,1.378580007,9.128905503,0.261915557,2.391002371
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,2,50,75,25,33.75,48.5,17.75,66.25,1.541676136,6.49,0.049422764,0.487529024,1.90484739,18.79029656,0.279860187,1.273933634,9.864462981,0.190484739,1.879029656
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,2,75,100,25,24,55.25,20.75,76,1.634977148,6.55,0.057440667,0.503309044,2.347854446,20.57246963,0.37067117,1.31328643,8.76224234,0.234785445,2.057246963
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,3,0,10,10,27.25,46.5,26.25,72.75,1.333737343,7.01,0.093501915,0.849359126,1.24706995,11.32821985,0.095890814,1.054161669,9.083868828,0.124706995,1.132821985
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,3,10,20,10,27.25,46.5,26.25,72.75,1.404565311,7,0.085487913,0.830825205,1.200733571,11.66948263,0.079446653,1.067051602,9.71862777,0.120073357,1.166948263
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,3,20,50,30,29.75,44,26.25,70.25,1.504961745,6.6,0.06446789,0.544005178,2.910651233,24.56120949,0.46399017,1.390249749,8.438389734,0.291065123,2.456120949
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,3,50,75,25,29.75,46.5,23.75,70.25,1.541676136,6.67,0.054156768,0.468737761,2.087304923,18.06604551,0.319585897,1.2568631,8.655201888,0.208730492,1.806604551
2,Hrdy Y,23,0,wheat,0,4.5,Yolo,1,R,3,75,100,25,27,52.5,20.5,73,1.634977148,6.64,0.04845732,0.595673173,1.980665264,24.34780063,0.296811085,1.386459737,12.29273875,0.198066526,2.434780063
3,YO-1,10,0,tomato,0,0,Yolo,1,H,1,0,10,10,12,56.5,31.5,88,1.242355377,7.3,0.252379956,3.014572208,3.135455952,37.45169992,0.496300704,1.573471535,11.94457855,0.313545595,3.745169992
3,YO-1,10,0,tomato,0,0,Yolo,1,H,1,10,20,10,19.75,55.25,25,80.25,1.410578365,7.2,0.184583205,2.032309155,2.603690753,28.66731326,0.415589401,1.457386992,11.01026042,0.260369075,2.866731326
3,YO-1,10,0,tomato,0,0,Yolo,1,H,1,20,50,30,18.5,50.25,31.25,81.5,1.403353281,6.82,0.10229731,1.037671872,4.306777984,43.68660681,0.634152484,1.640348314,10.14368676,0.430677798,4.368660681
3,YO-1,10,0,tomato,0,0,Yolo,1,H,1,50,75,25,18.5,51.5,30,81.5,1.475923541,7.49,0.069458097,0.695525056,2.562871023,25.6635451,0.408726751,1.409316649,10.01359213,0.256287102,2.56635451
3,YO-1,10,0,tomato,0,0,Yolo,1,H,1,75,100,25,21.25,52.5,26.25,78.75,1.420346943,7.07,0.052652814,0.681060999,1.869631603,24.1835727,0.27175604,1.383520461,12.93494005,0.18696316,2.41835727
3,YO-1,10,0,tomato,0,0,Yolo,1,H,2,0,10,10,18.5,57.75,23.75,81.5,1.242355377,7.02,0.266854134,2.977803193,3.315276684,36.99489809,0.520519779,1.568141835,11.15891722,0.331527668,3.699489809
3,YO-1,10,0,tomato,0,0,Yolo,1,H,2,10,20,10,17.25,57.75,25,82.75,1.410578365,7.3,0.199752593,2.063319615,2.817666867,29.1047401,0.449889645,1.463963725,10.32937585,0.281766687,2.91047401
3,YO-1,10,0,tomato,0,0,Yolo,1,H,2,20,50,30,23.5,52.75,23.75,76.5,1.403353281,7.15,0.127571123,1.16379448,5.370820603,48.99644406,0.730040646,1.690164562,9.122710974,0.53708206,4.899644406
3,YO-1,10,0,tomato,0,0,Yolo,1,H,2,50,75,25,21,52.75,26.25,79,1.475923541,6.97,0.08176344,0.64007096,3.016914639,23.61739496,0.479563022,1.373231992,7.82832721,0.301691464,2.361739496
3,YO-1,10,0,tomato,0,0,Yolo,1,H,2,75,100,25,20,53.75,26.25,80,1.420346943,6.91,0.088621636,0.677839428,3.146836743,24.069179,0.497874212,1.381461277,7.648690086,0.314683674,2.4069179
3,YO-1,10,0,tomato,0,0,Yolo,1,H,3,0,10,10,18.5,56.5,25,81.5,1.242355377,7.3,0.245502008,2.484662639,3.050007394,30.8683399,0.484300892,1.489513274,10.12074264,0.305000739,3.08683399
3,YO-1,10,0,tomato,0,0,Yolo,1,H,3,10,20,10,19.75,52.75,27.5,80.25,1.410578365,7.2,0.195164779,1.88693944,2.752952145,26.61675951,0.439798662,1.425155181,9.668442497,0.275295214,2.661675951
3,YO-1,10,0,tomato,0,0,Yolo,1,H,3,20,50,30,18.5,57.75,23.75,81.5,1.403353281,7.48,0.136977623,1.296841864,5.766839914,54.59781856,0.760937896,1.737175291,9.467545376,0.576683991,5.459781856
3,YO-1,10,0,tomato,0,0,Yolo,1,H,3,50,75,25,21,55.25,23.75,79,1.475923541,7.04,0.102989034,0.85735542,3.800098482,31.63477617,0.579794852,1.500164766,8.324725352,0.380009848,3.163477617
3,YO-1,10,0,tomato,0,0,Yolo,1,H,3,75,100,25,22.5,50,27.5,77.5,1.420346943,7.11,0.084608074,0.636729949,3.004320486,22.60943593,0.477746259,1.354289728,7.525640502,0.300432049,2.260943593
3,YO-1,10,0,tomato,0,7,Yolo,1,R,1,0,10,10,16,57.75,26.25,84,1.190743126,7.1,0.176405124,1.744180509,2.100531885,20.76870951,0.322329278,1.317409512,9.887357417,0.210053188,2.076870951
3,YO-1,10,0,tomato,0,7,Yolo,1,R,1,10,20,10,13.5,59,27.5,86.5,1.365553115,7.1,0.149853992,1.149535483,2.046335857,15.69751759,0.310976914,1.195830978,7.671036765,0.204633586,1.569751759
3,YO-1,10,0,tomato,0,7,Yolo,1,R,1,20,50,30,17.25,56.5,26.25,82.75,1.498851097,6.89,0.088526501,1.042668182,3.980641308,46.88413044,0.599953045,1.671025866,11.77803445,0.398064131,4.688413044
3,YO-1,10,0,tomato,0,7,Yolo,1,R,1,50,75,25,16,57.75,26.25,84,1.474383254,6.86,0.056053952,0.491495519,2.066125194,18.11631908,0.315156633,1.258069961,8.768258155,0.206612519,1.811631908
3,YO-1,10,0,tomato,0,7,Yolo,1,R,1,75,100,25,20,47.5,32.5,80,1.436759841,7.15,0.065160136,0.734382955,2.340486672,26.37829847,0.369306172,1.421246778,11.2704331,0.234048667,2.637829847
3,YO-1,10,0,tomato,0,7,Yolo,1,R,2,0,10,10,16,57.75,26.25,84,1.190743126,7.1,0.14410869,1.586581486,1.715964316,18.89210997,0.234508252,1.276280465,11.00961704,0.171596432,1.889210997
3,YO-1,10,0,tomato,0,7,Yolo,1,R,2,10,20,10,17.25,55.25,27.5,82.75,1.365553115,7,0.115859429,1.12062232,1.582122048,15.302693,0.199239983,1.184767865,9.67225823,0.158212205,1.5302693
3,YO-1,10,0,tomato,0,7,Yolo,1,R,2,20,50,30,16,64,20,84,1.498851097,6.87,0.107290735,0.905192937,4.824385058,40.70248281,0.683441964,1.609620902,8.436822998,0.482438506,4.070248281
3,YO-1,10,0,tomato,0,7,Yolo,1,R,2,50,75,25,18.5,64,17.5,81.5,1.474383254,6.83,0.065372104,0.702310482,2.409588393,25.88687034,0.381942863,1.413079548,10.74327483,0.240958839,2.588687034
3,YO-1,10,0,tomato,0,7,Yolo,1,R,2,75,100,25,20,56.25,23.75,80,1.436759841,7.14,0.052315611,0.514510642,1.879124209,18.48070571,0.273955488,1.266718551,9.834744094,0.187912421,1.848070571
3,YO-1,10,0,tomato,0,7,Yolo,1,R,3,0,10,10,16,59,25,84,1.190743126,7.1,0.156630752,1.583938647,1.865069909,18.86064056,0.270695115,1.275556438,10.11256493,0.186506991,1.886064056
3,YO-1,10,0,tomato,0,7,Yolo,1,R,3,10,20,10,13.5,60.25,26.25,86.5,1.365553115,7.02,0.136088109,1.096781693,1.858355406,14.97713657,0.269128775,1.17542879,8.059349961,0.185835541,1.497713657
3,YO-1,10,0,tomato,0,7,Yolo,1,R,3,20,50,30,18.5,60.25,21.25,81.5,1.498851097,6.63,0.08624112,0.925155922,3.877877909,41.60012905,0.588594132,1.619094678,10.72754997,0.387787791,4.160012905
3,YO-1,10,0,tomato,0,7,Yolo,1,R,3,50,75,25,16,61.5,22.5,84,1.474383254,6.98,0.056371723,0.516493022,2.077838102,19.03771655,0.317611706,1.279614856,9.162271367,0.20778381,1.903771655
3,YO-1,10,0,tomato,0,7,Yolo,1,R,3,75,100,25,16.25,55,28.75,83.75,1.436759841,6.9,0.055970914,0.66620598,2.010419037,23.92944996,0.303286588,1.378932716,11.90271755,0.201041904,2.392944996
4,FBF,10,0,diverse,0,0,Yolo,1,H,1,0,10,10,19.75,50.25,30,80.25,1.347751433,6.68,0.196701987,2.245705017,2.651053846,30.26652155,0.423418549,1.480962512,11.41678868,0.265105385,3.026652155
4,FBF,10,0,diverse,0,0,Yolo,1,H,1,10,20,10,18.5,49,32.5,81.5,1.546448501,6.75,0.142258982,1.361994172,2.199961895,21.06253846,0.342415159,1.323510711,9.574046944,0.21999619,2.106253846
4,FBF,10,0,diverse,0,0,Yolo,1,H,1,20,50,30,17,52,31,83,1.550993612,6.62,0.10150624,0.833786709,4.723065886,38.79593578,0.674224004,1.588786232,8.214142407,0.472306589,3.879593578
