Site Name,Site,HR_age,Compost,Crops,Cover_Crop,Fallow,Soil_Type,Treatment,Location,Upper_Depth,Lower_Depth,Length,soil,sand,silt,clay,silt_clay,BD,pH,per_N,per_C,N_Mg_ha,C_Mg_ha,CN_ratio,log_N,log_C,profileC,POXc,EOC,EON,MBC,MBN,MB_CN_ratio,glucam,glucos,cell, GWC,Infiltration_Dry,Infiltration_Wet,SH_15,SSH_30,Macroagg,Microagg,Total_Agg
YO-1,3,10,0,tomato,0,0,1,H,3,0,10,10,Yolo,18.5,56.5,25,81.5,1.242355377,7.3,0.245502008,2.484662639,3.050007394,30.8683399,10.12074264,0.484300892,1.489513274,166.3271301,820.34,37.5,34.8,168.7432446,68.32283038,2.469792947,0.428372384,4.683700135,0.605694731,0.225954199,1.93,6.24,25,80,64.1,19.2,83.3
YO-1,3,10,0,tomato,0,7,1,R,1,0,10,10,Yolo,16,57.75,26.25,84,1.190743126,7.1,0.176405124,1.744180509,2.100531886,20.76870952,9.887357417,0.322329278,1.317409512,127.8449751,749.15,17.3,23.2,152.3803599,57.33531129,2.657705287,0.574727779,1.546460624,0.23637785,0.224736048,6.14,49.51,0,75,31.5,44.1,75.6
YO-1,3,10,0,tomato,0,7,1,R,2,0,10,10,Yolo,16,57.75,26.25,84,1.190743126,7.1,0.14410869,1.586581486,1.715964316,18.89210998,11.00961704,0.234508252,1.276280465,119.2648618,870.18,21.0,32.3,127.62,46.19333333,2.762736326,0.540465457,1.320417499,0.268893272,0.25,4.13,50.32,0,60,38.5,26.6,65.1
YO-1,3,10,0,tomato,0,7,1,R,3,0,10,10,Yolo,16,59,25,84,1.190743126,7.1,0.156630752,1.583938647,1.86506991,18.86064056,10.11256493,0.270695115,1.275556438,118.4050727,929.50,16.3,24.3,121.710707,39.46659836,3.083891494,0.471801433,0.522864405,0.233030977,0.243410853,4.07,41.62,15,90,19.4,34.2,53.6
FBF,4,10,0,diverse,0,0,1,H,1,0,10,10,Yolo,18.5,49,32.5,81.5,1.546448501,6.75,0.196701987,2.245705017,3.041894927,34.72867158,11.41678868,0.342415159,1.323510711,125.6849177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.81,12.77,15,65,31.5,15.6,47.1
FBF,4,10,0,diverse,0,0,1,H,2,0,10,10,Yolo,21,51.5,27.5,79,1.546448501,6.68,0.141848502,1.541128512,2.193614025,23.83275877,10.86460904,0.280909989,1.176742095,80.8711523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.69,18.81,20,50,57.4,8.1,65.5
FBF,4,10,0,diverse,0,0,1,H,3,0,10,10,Yolo,21,49,30,79,1.546448501,6.72,0.218186662,2.200931297,3.37414436,34.03626905,10.08737784,0.381137102,1.327957123,107.0697086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.65,20.43,20,75,44.7,9.4,54.1
FBF,4,10,24,diverse,1,2,1,R,1,0,10,10,Yolo,17.25,52.75,30,82.75,1.473777239,6.9,0.229287441,2.464104002,3.379186113,36.31540393,10.74679012,0.465862215,1.462559702,136.7212279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14,10.31,5,70,56.3,10.9,67.2
FBF,4,10,24,diverse,1,2,1,R,2,0,10,10,Yolo,16,51.5,32.5,84,1.473777239,6.88,0.226900029,2.460882166,3.344000977,36.26792124,10.84566706,0.511094153,1.550430232,144.0286097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,9.46,0,65,43.9,17.9,61.8
FBF,4,10,24,diverse,1,2,1,R,3,0,10,10,Yolo,16,46.5,37.5,84,1.473777239,6.91,0.232272549,2.581426939,3.423179965,38.04448267,11.11378399,0.513658255,1.529707438,168.8775916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.31,11.2,5,75,50.2,13.5,63.7
